Month,Year,Municipality,Dengue_Cases
Jan,2019,Agno,1
Feb,2019,Agno,1
Mar,2019,Agno,0
Apr,2019,Agno,0
May,2019,Agno,0
Jun,2019,Agno,1
Jul,2019,Agno,13
Aug,2019,Agno,22
Sep,2019,Agno,14
Oct,2019,Agno,3
Nov,2019,Agno,5
Dec,2019,Agno,0
Jan,2020,Agno,2
Feb,2020,Agno,0
Mar,2020,Agno,0
Apr,2020,Agno,0
May,2020,Agno,0
Jun,2020,Agno,1
Jul,2020,Agno,1
Aug,2020,Agno,3
Sep,2020,Agno,1
Oct,2020,Agno,1
Nov,2020,Agno,2
Dec,2020,Agno,0
Jan,2021,Agno,0
Feb,2021,Agno,0
Mar,2021,Agno,2
Apr,2021,Agno,6
May,2021,Agno,11
Jun,2021,Agno,2
Jul,2021,Agno,41
Aug,2021,Agno,22
Sep,2021,Agno,7
Oct,2021,Agno,0
Nov,2021,Agno,1
Dec,2021,Agno,0
Jan,2022,Agno,0
Feb,2022,Agno,1
Mar,2022,Agno,0
Apr,2022,Agno,1
May,2022,Agno,1
Jun,2022,Agno,2
Jul,2022,Agno,2
Aug,2022,Agno,3
Sep,2022,Agno,1
Oct,2022,Agno,0
Nov,2022,Agno,0
Dec,2022,Agno,1
Jan,2023,Agno,0
Feb,2023,Agno,0
Mar,2023,Agno,0
Apr,2023,Agno,0
May,2023,Agno,0
Jun,2023,Agno,0
Jul,2023,Agno,0
Aug,2023,Agno,0
Sep,2023,Agno,3
Oct,2023,Agno,1
Nov,2023,Agno,1
Dec,2023,Agno,2
Jan,2024,Agno,1
Feb,2024,Agno,0
Mar,2024,Agno,0
Apr,2024,Agno,0
May,2024,Agno,0
Jun,2024,Agno,1
Jul,2024,Agno,6
Aug,2024,Agno,8
Sep,2024,Agno,4
Oct,2024,Agno,1
Jan,2019,Aguilar,1
Feb,2019,Aguilar,0
Mar,2019,Aguilar,3
Apr,2019,Aguilar,0
May,2019,Aguilar,0
Jun,2019,Aguilar,1
Jul,2019,Aguilar,1
Aug,2019,Aguilar,6
Sep,2019,Aguilar,25
Oct,2019,Aguilar,9
Nov,2019,Aguilar,6
Dec,2019,Aguilar,3
Jan,2020,Aguilar,1
Feb,2020,Aguilar,1
Mar,2020,Aguilar,2
Apr,2020,Aguilar,3
May,2020,Aguilar,1
Jun,2020,Aguilar,8
Jul,2020,Aguilar,20
Aug,2020,Aguilar,24
Sep,2020,Aguilar,7
Oct,2020,Aguilar,4
Nov,2020,Aguilar,4
Dec,2020,Aguilar,3
Jan,2021,Aguilar,0
Feb,2021,Aguilar,0
Mar,2021,Aguilar,1
Apr,2021,Aguilar,1
May,2021,Aguilar,4
Jun,2021,Aguilar,7
Jul,2021,Aguilar,7
Aug,2021,Aguilar,3
Sep,2021,Aguilar,2
Oct,2021,Aguilar,5
Nov,2021,Aguilar,1
Dec,2021,Aguilar,0
Jan,2022,Aguilar,0
Feb,2022,Aguilar,1
Mar,2022,Aguilar,0
Apr,2022,Aguilar,0
May,2022,Aguilar,0
Jun,2022,Aguilar,3
Jul,2022,Aguilar,7
Aug,2022,Aguilar,5
Sep,2022,Aguilar,5
Oct,2022,Aguilar,2
Nov,2022,Aguilar,1
Dec,2022,Aguilar,0
Jan,2023,Aguilar,0
Feb,2023,Aguilar,0
Mar,2023,Aguilar,3
Apr,2023,Aguilar,0
May,2023,Aguilar,2
Jun,2023,Aguilar,3
Jul,2023,Aguilar,0
Aug,2023,Aguilar,2
Sep,2023,Aguilar,8
Oct,2023,Aguilar,5
Nov,2023,Aguilar,7
Dec,2023,Aguilar,1
Jan,2024,Aguilar,0
Feb,2024,Aguilar,4
Mar,2024,Aguilar,1
Apr,2024,Aguilar,2
May,2024,Aguilar,1
Jun,2024,Aguilar,4
Jul,2024,Aguilar,20
Aug,2024,Aguilar,22
Sep,2024,Aguilar,30
Oct,2024,Aguilar,11
Jan,2019,Alaminos City,16
Feb,2019,Alaminos City,13
Mar,2019,Alaminos City,1
Apr,2019,Alaminos City,1
May,2019,Alaminos City,2
Jun,2019,Alaminos City,37
Jul,2019,Alaminos City,65
Aug,2019,Alaminos City,59
Sep,2019,Alaminos City,50
Oct,2019,Alaminos City,26
Nov,2019,Alaminos City,7
Dec,2019,Alaminos City,3
Jan,2020,Alaminos City,3
Feb,2020,Alaminos City,9
Mar,2020,Alaminos City,11
Apr,2020,Alaminos City,0
May,2020,Alaminos City,0
Jun,2020,Alaminos City,12
Jul,2020,Alaminos City,53
Aug,2020,Alaminos City,33
Sep,2020,Alaminos City,25
Oct,2020,Alaminos City,3
Nov,2020,Alaminos City,14
Dec,2020,Alaminos City,21
Jan,2021,Alaminos City,23
Feb,2021,Alaminos City,32
Mar,2021,Alaminos City,20
Apr,2021,Alaminos City,21
May,2021,Alaminos City,30
Jun,2021,Alaminos City,68
Jul,2021,Alaminos City,104
Aug,2021,Alaminos City,34
Sep,2021,Alaminos City,14
Oct,2021,Alaminos City,6
Nov,2021,Alaminos City,3
Dec,2021,Alaminos City,0
Jan,2022,Alaminos City,2
Feb,2022,Alaminos City,3
Mar,2022,Alaminos City,1
Apr,2022,Alaminos City,3
May,2022,Alaminos City,1
Jun,2022,Alaminos City,19
Jul,2022,Alaminos City,31
Aug,2022,Alaminos City,17
Sep,2022,Alaminos City,1
Oct,2022,Alaminos City,4
Nov,2022,Alaminos City,5
Dec,2022,Alaminos City,2
Jan,2023,Alaminos City,3
Feb,2023,Alaminos City,1
Mar,2023,Alaminos City,4
Apr,2023,Alaminos City,1
May,2023,Alaminos City,1
Jun,2023,Alaminos City,0
Jul,2023,Alaminos City,6
Aug,2023,Alaminos City,6
Sep,2023,Alaminos City,7
Oct,2023,Alaminos City,4
Nov,2023,Alaminos City,3
Dec,2023,Alaminos City,2
Jan,2024,Alaminos City,1
Feb,2024,Alaminos City,1
Mar,2024,Alaminos City,2
Apr,2024,Alaminos City,1
May,2024,Alaminos City,1
Jun,2024,Alaminos City,3
Jul,2024,Alaminos City,44
Aug,2024,Alaminos City,47
Sep,2024,Alaminos City,21
Oct,2024,Alaminos City,0
Jan,2019,Alcala,13
Feb,2019,Alcala,4
Mar,2019,Alcala,2
Apr,2019,Alcala,0
May,2019,Alcala,2
Jun,2019,Alcala,4
Jul,2019,Alcala,17
Aug,2019,Alcala,11
Sep,2019,Alcala,15
Oct,2019,Alcala,12
Nov,2019,Alcala,1
Dec,2019,Alcala,0
Jan,2020,Alcala,1
Feb,2020,Alcala,2
Mar,2020,Alcala,0
Apr,2020,Alcala,0
May,2020,Alcala,0
Jun,2020,Alcala,1
Jul,2020,Alcala,3
Aug,2020,Alcala,5
Sep,2020,Alcala,5
Oct,2020,Alcala,5
Nov,2020,Alcala,8
Dec,2020,Alcala,5
Jan,2021,Alcala,7
Feb,2021,Alcala,0
Mar,2021,Alcala,1
Apr,2021,Alcala,1
May,2021,Alcala,1
Jun,2021,Alcala,1
Jul,2021,Alcala,4
Aug,2021,Alcala,7
Sep,2021,Alcala,0
Oct,2021,Alcala,1
Nov,2021,Alcala,0
Dec,2021,Alcala,2
Jan,2022,Alcala,0
Feb,2022,Alcala,1
Mar,2022,Alcala,0
Apr,2022,Alcala,2
May,2022,Alcala,4
Jun,2022,Alcala,1
Jul,2022,Alcala,3
Aug,2022,Alcala,10
Sep,2022,Alcala,2
Oct,2022,Alcala,3
Nov,2022,Alcala,0
Dec,2022,Alcala,3
Jan,2023,Alcala,0
Feb,2023,Alcala,0
Mar,2023,Alcala,1
Apr,2023,Alcala,0
May,2023,Alcala,0
Jun,2023,Alcala,2
Jul,2023,Alcala,1
Aug,2023,Alcala,3
Sep,2023,Alcala,3
Oct,2023,Alcala,4
Nov,2023,Alcala,2
Dec,2023,Alcala,2
Jan,2024,Alcala,0
Feb,2024,Alcala,1
Mar,2024,Alcala,5
Apr,2024,Alcala,0
May,2024,Alcala,2
Jun,2024,Alcala,1
Jul,2024,Alcala,5
Aug,2024,Alcala,10
Sep,2024,Alcala,5
Oct,2024,Alcala,0
Jan,2019,Anda,5
Feb,2019,Anda,6
Mar,2019,Anda,3
Apr,2019,Anda,1
May,2019,Anda,6
Jun,2019,Anda,19
Jul,2019,Anda,56
Aug,2019,Anda,38
Sep,2019,Anda,16
Oct,2019,Anda,10
Nov,2019,Anda,8
Dec,2019,Anda,0
Jan,2020,Anda,1
Feb,2020,Anda,2
Mar,2020,Anda,0
Apr,2020,Anda,1
May,2020,Anda,1
Jun,2020,Anda,0
Jul,2020,Anda,0
Aug,2020,Anda,0
Sep,2020,Anda,0
Oct,2020,Anda,0
Nov,2020,Anda,1
Dec,2020,Anda,1
Jan,2021,Anda,1
Feb,2021,Anda,1
Mar,2021,Anda,1
Apr,2021,Anda,2
May,2021,Anda,3
Jun,2021,Anda,9
Jul,2021,Anda,21
Aug,2021,Anda,15
Sep,2021,Anda,2
Oct,2021,Anda,0
Nov,2021,Anda,0
Dec,2021,Anda,0
Jan,2022,Anda,0
Feb,2022,Anda,1
Mar,2022,Anda,0
Apr,2022,Anda,0
May,2022,Anda,1
Jun,2022,Anda,1
Jul,2022,Anda,2
Aug,2022,Anda,1
Sep,2022,Anda,1
Oct,2022,Anda,1
Nov,2022,Anda,0
Dec,2022,Anda,1
Jan,2023,Anda,3
Feb,2023,Anda,0
Mar,2023,Anda,0
Apr,2023,Anda,0
May,2023,Anda,0
Jun,2023,Anda,1
Jul,2023,Anda,0
Aug,2023,Anda,2
Sep,2023,Anda,0
Oct,2023,Anda,0
Nov,2023,Anda,1
Dec,2023,Anda,0
Jan,2024,Anda,2
Feb,2024,Anda,0
Mar,2024,Anda,0
Apr,2024,Anda,1
May,2024,Anda,3
Jun,2024,Anda,7
Jul,2024,Anda,23
Aug,2024,Anda,16
Sep,2024,Anda,0
Oct,2024,Anda,0
Jan,2019,Asingan,12
Feb,2019,Asingan,5
Mar,2019,Asingan,4
Apr,2019,Asingan,1
May,2019,Asingan,3
Jun,2019,Asingan,0
Jul,2019,Asingan,7
Aug,2019,Asingan,13
Sep,2019,Asingan,25
Oct,2019,Asingan,27
Nov,2019,Asingan,12
Dec,2019,Asingan,6
Jan,2020,Asingan,7
Feb,2020,Asingan,15
Mar,2020,Asingan,1
Apr,2020,Asingan,0
May,2020,Asingan,1
Jun,2020,Asingan,3
Jul,2020,Asingan,10
Aug,2020,Asingan,20
Sep,2020,Asingan,11
Oct,2020,Asingan,20
Nov,2020,Asingan,28
Dec,2020,Asingan,18
Jan,2021,Asingan,17
Feb,2021,Asingan,12
Mar,2021,Asingan,9
Apr,2021,Asingan,3
May,2021,Asingan,2
Jun,2021,Asingan,12
Jul,2021,Asingan,21
Aug,2021,Asingan,29
Sep,2021,Asingan,6
Oct,2021,Asingan,2
Nov,2021,Asingan,0
Dec,2021,Asingan,1
Jan,2022,Asingan,1
Feb,2022,Asingan,1
Mar,2022,Asingan,0
Apr,2022,Asingan,0
May,2022,Asingan,3
Jun,2022,Asingan,4
Jul,2022,Asingan,10
Aug,2022,Asingan,32
Sep,2022,Asingan,13
Oct,2022,Asingan,9
Nov,2022,Asingan,3
Dec,2022,Asingan,4
Jan,2023,Asingan,2
Feb,2023,Asingan,0
Mar,2023,Asingan,1
Apr,2023,Asingan,2
May,2023,Asingan,0
Jun,2023,Asingan,4
Jul,2023,Asingan,1
Aug,2023,Asingan,5
Sep,2023,Asingan,0
Oct,2023,Asingan,1
Nov,2023,Asingan,1
Dec,2023,Asingan,0
Jan,2024,Asingan,0
Feb,2024,Asingan,0
Mar,2024,Asingan,0
Apr,2024,Asingan,0
May,2024,Asingan,0
Jun,2024,Asingan,0
Jul,2024,Asingan,5
Aug,2024,Asingan,20
Sep,2024,Asingan,12
Oct,2024,Asingan,1
Jan,2019,Balungao,0
Feb,2019,Balungao,0
Mar,2019,Balungao,0
Apr,2019,Balungao,0
May,2019,Balungao,0
Jun,2019,Balungao,4
Jul,2019,Balungao,28
Aug,2019,Balungao,46
Sep,2019,Balungao,17
Oct,2019,Balungao,6
Nov,2019,Balungao,2
Dec,2019,Balungao,2
Jan,2020,Balungao,2
Feb,2020,Balungao,1
Mar,2020,Balungao,0
Apr,2020,Balungao,0
May,2020,Balungao,0
Jun,2020,Balungao,0
Jul,2020,Balungao,0
Aug,2020,Balungao,0
Sep,2020,Balungao,0
Oct,2020,Balungao,0
Nov,2020,Balungao,1
Dec,2020,Balungao,2
Jan,2021,Balungao,1
Feb,2021,Balungao,3
Mar,2021,Balungao,0
Apr,2021,Balungao,0
May,2021,Balungao,4
Jun,2021,Balungao,0
Jul,2021,Balungao,5
Aug,2021,Balungao,4
Sep,2021,Balungao,0
Oct,2021,Balungao,0
Nov,2021,Balungao,0
Dec,2021,Balungao,0
Jan,2022,Balungao,0
Feb,2022,Balungao,0
Mar,2022,Balungao,0
Apr,2022,Balungao,0
May,2022,Balungao,2
Jun,2022,Balungao,3
Jul,2022,Balungao,11
Aug,2022,Balungao,14
Sep,2022,Balungao,5
Oct,2022,Balungao,0
Nov,2022,Balungao,0
Dec,2022,Balungao,0
Jan,2023,Balungao,4
Feb,2023,Balungao,3
Mar,2023,Balungao,3
Apr,2023,Balungao,1
May,2023,Balungao,3
Jun,2023,Balungao,21
Jul,2023,Balungao,55
Aug,2023,Balungao,32
Sep,2023,Balungao,15
Oct,2023,Balungao,2
Nov,2023,Balungao,7
Dec,2023,Balungao,1
Jan,2024,Balungao,2
Feb,2024,Balungao,0
Mar,2024,Balungao,1
Apr,2024,Balungao,0
May,2024,Balungao,0
Jun,2024,Balungao,0
Jul,2024,Balungao,5
Aug,2024,Balungao,14
Sep,2024,Balungao,0
Oct,2024,Balungao,3
Jan,2019,Bani,5
Feb,2019,Bani,7
Mar,2019,Bani,17
Apr,2019,Bani,15
May,2019,Bani,7
Jun,2019,Bani,48
Jul,2019,Bani,85
Aug,2019,Bani,28
Sep,2019,Bani,30
Oct,2019,Bani,13
Nov,2019,Bani,2
Dec,2019,Bani,2
Jan,2020,Bani,0
Feb,2020,Bani,3
Mar,2020,Bani,1
Apr,2020,Bani,0
May,2020,Bani,0
Jun,2020,Bani,0
Jul,2020,Bani,1
Aug,2020,Bani,4
Sep,2020,Bani,2
Oct,2020,Bani,2
Nov,2020,Bani,5
Dec,2020,Bani,2
Jan,2021,Bani,2
Feb,2021,Bani,1
Mar,2021,Bani,4
Apr,2021,Bani,6
May,2021,Bani,4
Jun,2021,Bani,24
Jul,2021,Bani,29
Aug,2021,Bani,24
Sep,2021,Bani,2
Oct,2021,Bani,2
Nov,2021,Bani,2
Dec,2021,Bani,3
Jan,2022,Bani,2
Feb,2022,Bani,1
Mar,2022,Bani,0
Apr,2022,Bani,0
May,2022,Bani,1
Jun,2022,Bani,4
Jul,2022,Bani,9
Aug,2022,Bani,4
Sep,2022,Bani,2
Oct,2022,Bani,2
Nov,2022,Bani,1
Dec,2022,Bani,2
Jan,2023,Bani,0
Feb,2023,Bani,0
Mar,2023,Bani,2
Apr,2023,Bani,0
May,2023,Bani,0
Jun,2023,Bani,0
Jul,2023,Bani,3
Aug,2023,Bani,1
Sep,2023,Bani,3
Oct,2023,Bani,0
Nov,2023,Bani,3
Dec,2023,Bani,0
Jan,2024,Bani,8
Feb,2024,Bani,2
Mar,2024,Bani,0
Apr,2024,Bani,0
May,2024,Bani,2
Jun,2024,Bani,1
Jul,2024,Bani,1
Aug,2024,Bani,7
Sep,2024,Bani,4
Oct,2024,Bani,0
Jan,2019,Basista,7
Feb,2019,Basista,4
Mar,2019,Basista,1
Apr,2019,Basista,2
May,2019,Basista,1
Jun,2019,Basista,1
Jul,2019,Basista,1
Aug,2019,Basista,29
Sep,2019,Basista,34
Oct,2019,Basista,18
Nov,2019,Basista,11
Dec,2019,Basista,2
Jan,2020,Basista,1
Feb,2020,Basista,3
Mar,2020,Basista,0
Apr,2020,Basista,0
May,2020,Basista,0
Jun,2020,Basista,1
Jul,2020,Basista,2
Aug,2020,Basista,11
Sep,2020,Basista,16
Oct,2020,Basista,25
Nov,2020,Basista,7
Dec,2020,Basista,26
Jan,2021,Basista,15
Feb,2021,Basista,3
Mar,2021,Basista,12
Apr,2021,Basista,19
May,2021,Basista,6
Jun,2021,Basista,11
Jul,2021,Basista,25
Aug,2021,Basista,24
Sep,2021,Basista,8
Oct,2021,Basista,0
Nov,2021,Basista,0
Dec,2021,Basista,1
Jan,2022,Basista,1
Feb,2022,Basista,1
Mar,2022,Basista,1
Apr,2022,Basista,1
May,2022,Basista,3
Jun,2022,Basista,1
Jul,2022,Basista,8
Aug,2022,Basista,7
Sep,2022,Basista,5
Oct,2022,Basista,0
Nov,2022,Basista,1
Dec,2022,Basista,0
Jan,2023,Basista,3
Feb,2023,Basista,0
Mar,2023,Basista,0
Apr,2023,Basista,1
May,2023,Basista,3
Jun,2023,Basista,1
Jul,2023,Basista,3
Aug,2023,Basista,7
Sep,2023,Basista,11
Oct,2023,Basista,4
Nov,2023,Basista,2
Dec,2023,Basista,1
Jan,2024,Basista,1
Feb,2024,Basista,1
Mar,2024,Basista,0
Apr,2024,Basista,1
May,2024,Basista,1
Jun,2024,Basista,0
Jul,2024,Basista,62
Aug,2024,Basista,183
Sep,2024,Basista,43
Oct,2024,Basista,5
Jan,2019,Bautista,15
Feb,2019,Bautista,8
Mar,2019,Bautista,1
Apr,2019,Bautista,2
May,2019,Bautista,0
Jun,2019,Bautista,1
Jul,2019,Bautista,3
Aug,2019,Bautista,17
Sep,2019,Bautista,21
Oct,2019,Bautista,18
Nov,2019,Bautista,2
Dec,2019,Bautista,1
Jan,2020,Bautista,3
Feb,2020,Bautista,5
Mar,2020,Bautista,0
Apr,2020,Bautista,0
May,2020,Bautista,0
Jun,2020,Bautista,0
Jul,2020,Bautista,1
Aug,2020,Bautista,2
Sep,2020,Bautista,7
Oct,2020,Bautista,8
Nov,2020,Bautista,5
Dec,2020,Bautista,3
Jan,2021,Bautista,4
Feb,2021,Bautista,5
Mar,2021,Bautista,3
Apr,2021,Bautista,2
May,2021,Bautista,5
Jun,2021,Bautista,0
Jul,2021,Bautista,1
Aug,2021,Bautista,8
Sep,2021,Bautista,1
Oct,2021,Bautista,1
Nov,2021,Bautista,0
Dec,2021,Bautista,0
Jan,2022,Bautista,1
Feb,2022,Bautista,0
Mar,2022,Bautista,2
Apr,2022,Bautista,0
May,2022,Bautista,0
Jun,2022,Bautista,1
Jul,2022,Bautista,3
Aug,2022,Bautista,3
Sep,2022,Bautista,2
Oct,2022,Bautista,1
Nov,2022,Bautista,1
Dec,2022,Bautista,0
Jan,2023,Bautista,0
Feb,2023,Bautista,0
Mar,2023,Bautista,1
Apr,2023,Bautista,0
May,2023,Bautista,0
Jun,2023,Bautista,0
Jul,2023,Bautista,2
Aug,2023,Bautista,5
Sep,2023,Bautista,6
Oct,2023,Bautista,3
Nov,2023,Bautista,2
Dec,2023,Bautista,5
Jan,2024,Bautista,0
Feb,2024,Bautista,0
Mar,2024,Bautista,1
Apr,2024,Bautista,0
May,2024,Bautista,0
Jun,2024,Bautista,0
Jul,2024,Bautista,16
Aug,2024,Bautista,53
Sep,2024,Bautista,3
Oct,2024,Bautista,0
Jan,2019,Bayambang,62
Feb,2019,Bayambang,34
Mar,2019,Bayambang,18
Apr,2019,Bayambang,5
May,2019,Bayambang,9
Jun,2019,Bayambang,8
Jul,2019,Bayambang,46
Aug,2019,Bayambang,133
Sep,2019,Bayambang,150
Oct,2019,Bayambang,72
Nov,2019,Bayambang,14
Dec,2019,Bayambang,9
Jan,2020,Bayambang,11
Feb,2020,Bayambang,25
Mar,2020,Bayambang,13
Apr,2020,Bayambang,0
May,2020,Bayambang,1
Jun,2020,Bayambang,3
Jul,2020,Bayambang,12
Aug,2020,Bayambang,23
Sep,2020,Bayambang,16
Oct,2020,Bayambang,35
Nov,2020,Bayambang,68
Dec,2020,Bayambang,46
Jan,2021,Bayambang,29
Feb,2021,Bayambang,12
Mar,2021,Bayambang,14
Apr,2021,Bayambang,11
May,2021,Bayambang,7
Jun,2021,Bayambang,15
Jul,2021,Bayambang,36
Aug,2021,Bayambang,94
Sep,2021,Bayambang,17
Oct,2021,Bayambang,6
Nov,2021,Bayambang,7
Dec,2021,Bayambang,2
Jan,2022,Bayambang,2
Feb,2022,Bayambang,1
Mar,2022,Bayambang,1
Apr,2022,Bayambang,3
May,2022,Bayambang,2
Jun,2022,Bayambang,3
Jul,2022,Bayambang,22
Aug,2022,Bayambang,12
Sep,2022,Bayambang,14
Oct,2022,Bayambang,8
Nov,2022,Bayambang,10
Dec,2022,Bayambang,6
Jan,2023,Bayambang,5
Feb,2023,Bayambang,9
Mar,2023,Bayambang,3
Apr,2023,Bayambang,6
May,2023,Bayambang,2
Jun,2023,Bayambang,11
Jul,2023,Bayambang,46
Aug,2023,Bayambang,84
Sep,2023,Bayambang,64
Oct,2023,Bayambang,58
Nov,2023,Bayambang,28
Dec,2023,Bayambang,11
Jan,2024,Bayambang,3
Feb,2024,Bayambang,5
Mar,2024,Bayambang,1
Apr,2024,Bayambang,1
May,2024,Bayambang,1
Jun,2024,Bayambang,21
Jul,2024,Bayambang,217
Aug,2024,Bayambang,401
Sep,2024,Bayambang,27
Oct,2024,Bayambang,8
Jan,2019,Binalonan,19
Feb,2019,Binalonan,10
Mar,2019,Binalonan,3
Apr,2019,Binalonan,1
May,2019,Binalonan,2
Jun,2019,Binalonan,4
Jul,2019,Binalonan,13
Aug,2019,Binalonan,23
Sep,2019,Binalonan,33
Oct,2019,Binalonan,22
Nov,2019,Binalonan,22
Dec,2019,Binalonan,13
Jan,2020,Binalonan,12
Feb,2020,Binalonan,7
Mar,2020,Binalonan,2
Apr,2020,Binalonan,0
May,2020,Binalonan,0
Jun,2020,Binalonan,2
Jul,2020,Binalonan,1
Aug,2020,Binalonan,2
Sep,2020,Binalonan,2
Oct,2020,Binalonan,5
Nov,2020,Binalonan,22
Dec,2020,Binalonan,18
Jan,2021,Binalonan,8
Feb,2021,Binalonan,7
Mar,2021,Binalonan,3
Apr,2021,Binalonan,5
May,2021,Binalonan,7
Jun,2021,Binalonan,9
Jul,2021,Binalonan,22
Aug,2021,Binalonan,22
Sep,2021,Binalonan,5
Oct,2021,Binalonan,2
Nov,2021,Binalonan,2
Dec,2021,Binalonan,1
Jan,2022,Binalonan,2
Feb,2022,Binalonan,0
Mar,2022,Binalonan,0
Apr,2022,Binalonan,1
May,2022,Binalonan,0
Jun,2022,Binalonan,2
Jul,2022,Binalonan,11
Aug,2022,Binalonan,19
Sep,2022,Binalonan,10
Oct,2022,Binalonan,4
Nov,2022,Binalonan,2
Dec,2022,Binalonan,1
Jan,2023,Binalonan,2
Feb,2023,Binalonan,2
Mar,2023,Binalonan,0
Apr,2023,Binalonan,1
May,2023,Binalonan,1
Jun,2023,Binalonan,4
Jul,2023,Binalonan,4
Aug,2023,Binalonan,4
Sep,2023,Binalonan,1
Oct,2023,Binalonan,5
Nov,2023,Binalonan,2
Dec,2023,Binalonan,0
Jan,2024,Binalonan,0
Feb,2024,Binalonan,0
Mar,2024,Binalonan,1
Apr,2024,Binalonan,0
May,2024,Binalonan,1
Jun,2024,Binalonan,0
Jul,2024,Binalonan,17
Aug,2024,Binalonan,26
Sep,2024,Binalonan,30
Oct,2024,Binalonan,7
Jan,2019,Binmaley,17
Feb,2019,Binmaley,12
Mar,2019,Binmaley,4
Apr,2019,Binmaley,1
May,2019,Binmaley,1
Jun,2019,Binmaley,5
Jul,2019,Binmaley,14
Aug,2019,Binmaley,54
Sep,2019,Binmaley,90
Oct,2019,Binmaley,125
Nov,2019,Binmaley,82
Dec,2019,Binmaley,66
Jan,2020,Binmaley,32
Feb,2020,Binmaley,17
Mar,2020,Binmaley,4
Apr,2020,Binmaley,2
May,2020,Binmaley,1
Jun,2020,Binmaley,5
Jul,2020,Binmaley,12
Aug,2020,Binmaley,24
Sep,2020,Binmaley,32
Oct,2020,Binmaley,31
Nov,2020,Binmaley,70
Dec,2020,Binmaley,48
Jan,2021,Binmaley,39
Feb,2021,Binmaley,11
Mar,2021,Binmaley,9
Apr,2021,Binmaley,4
May,2021,Binmaley,4
Jun,2021,Binmaley,4
Jul,2021,Binmaley,4
Aug,2021,Binmaley,18
Sep,2021,Binmaley,17
Oct,2021,Binmaley,19
Nov,2021,Binmaley,14
Dec,2021,Binmaley,5
Jan,2022,Binmaley,5
Feb,2022,Binmaley,3
Mar,2022,Binmaley,1
Apr,2022,Binmaley,4
May,2022,Binmaley,2
Jun,2022,Binmaley,11
Jul,2022,Binmaley,25
Aug,2022,Binmaley,18
